run,description,batch_size,rep,task_sequence,tasks_in_batch,backbone_latency_ms,total_latency_ms,per_request_latency_ms,mean_decoder_latency_ms,sum_decoder_latency_ms,mean_swap_latency_ms,gpu_peak_mb
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,13,heartrate,"heartrate,heartrate,heartrate,heartrate",3.241966,5.645888,1.411472,0.57992225,2.319689,0.00037975,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,14,heartrate,"heartrate,heartrate,heartrate,heartrate",3.235992,5.863703,1.46592575,0.6338495,2.535398,0.00037075,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,15,heartrate,"heartrate,heartrate,heartrate,heartrate",3.247752,5.70808,1.42702,0.5926455,2.370582,0.0003695,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,16,heartrate,"heartrate,heartrate,heartrate,heartrate",3.299313,5.699552,1.424888,0.57425225,2.297009,0.000421,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,17,heartrate,"heartrate,heartrate,heartrate,heartrate",3.380177,5.787771,1.44694275,0.57658325,2.306333,0.00039025,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,18,heartrate,"heartrate,heartrate,heartrate,heartrate",3.285117,5.72789,1.4319725,0.58770925,2.350837,0.00036425,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,19,heartrate,"heartrate,heartrate,heartrate,heartrate",3.350459,5.720637,1.43015925,0.5312205,2.124882,0.0003465,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,20,heartrate,"heartrate,heartrate,heartrate,heartrate",3.252557,5.725529,1.43138225,0.5965315,2.386126,0.0003165,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,21,heartrate,"heartrate,heartrate,heartrate,heartrate",3.235294,5.668249,1.41706225,0.58652675,2.346107,0.00036225,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,22,heartrate,"heartrate,heartrate,heartrate,heartrate",3.22993,5.672992,1.418248,0.58874475,2.354979,0.000324,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,23,heartrate,"heartrate,heartrate,heartrate,heartrate",3.23624,5.82005,1.4550125,0.624521,2.498084,0.0003205,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,24,heartrate,"heartrate,heartrate,heartrate,heartrate",3.236138,5.657311,1.41432775,0.58415725,2.336629,0.00033675,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,25,heartrate,"heartrate,heartrate,heartrate,heartrate",3.241779,5.666042,1.4165105,0.5843715,2.337486,0.0003105,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,26,heartrate,"heartrate,heartrate,heartrate,heartrate",3.242555,5.668547,1.41713675,0.585851,2.343404,0.00030825,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,27,heartrate,"heartrate,heartrate,heartrate,heartrate",3.241286,5.824549,1.45613725,0.6238075,2.49523,0.0003125,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,28,heartrate,"heartrate,heartrate,heartrate,heartrate",3.218565,5.643184,1.410796,0.584941,2.339764,0.00031375,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,29,heartrate,"heartrate,heartrate,heartrate,heartrate",3.237151,5.643891,1.41097275,0.5813485,2.325394,0.000301,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,30,heartrate,"heartrate,heartrate,heartrate,heartrate",3.233266,5.654582,1.4136455,0.58462575,2.338503,0.00030975,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,31,heartrate,"heartrate,heartrate,heartrate,heartrate",3.270962,5.854162,1.4635405,0.6242755,2.497102,0.0003375,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,32,heartrate,"heartrate,heartrate,heartrate,heartrate",3.231702,5.663645,1.41591125,0.58736825,2.349473,0.00033175,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,33,heartrate,"heartrate,heartrate,heartrate,heartrate",3.49014,5.704874,1.4262185,0.53201175,2.128047,0.000318,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,34,heartrate,"heartrate,heartrate,heartrate,heartrate",3.339801,5.653892,1.413473,0.5574485,2.229794,0.00032125,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,35,heartrate,"heartrate,heartrate,heartrate,heartrate",3.243416,5.680121,1.42003025,0.5885555,2.354222,0.000304,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,36,heartrate,"heartrate,heartrate,heartrate,heartrate",3.256231,5.650983,1.41274575,0.57803975,2.312159,0.00031,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,37,heartrate,"heartrate,heartrate,heartrate,heartrate",3.317723,5.648312,1.412078,0.562065,2.24826,0.00031425,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,38,heartrate,"heartrate,heartrate,heartrate,heartrate",3.202155,5.642644,1.410661,0.5893965,2.357586,0.00029825,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,39,heartrate,"heartrate,heartrate,heartrate,heartrate",3.177147,5.650373,1.41259325,0.59839875,2.393595,0.00029825,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,40,heartrate,"heartrate,heartrate,heartrate,heartrate",3.165957,5.782288,1.445572,0.6337285,2.534914,0.00030775,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,41,heartrate,"heartrate,heartrate,heartrate,heartrate",3.161124,5.633694,1.4084235,0.59854325,2.394173,0.00030675,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,42,heartrate,"heartrate,heartrate,heartrate,heartrate",3.18969,5.658258,1.4145645,0.59628375,2.385135,0.00028825,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,43,heartrate,"heartrate,heartrate,heartrate,heartrate",3.239798,5.709932,1.427483,0.5973765,2.389506,0.0003085,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,44,heartrate,"heartrate,heartrate,heartrate,heartrate",3.178695,5.78614,1.446535,0.6314335,2.525734,0.0003115,444.76318359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",4,45,heartrate,"heartrate,heartrate,heartrate,heartrate",3.163001,5.640184,1.410046,0.59928,2.39712,0.00033225,444.76318359375
